Metricas para cada etiqueta,estado
accuracy,0.8865942028985507
recall,0.8865942028985507
precision,0.9159303172645712
f1 score,0.8894598207986831
balanced accuracy,0.9145029085140137
log loss,3.405234995065984
average precision,0.9629070811341048
roc auc,0.9849234382729739
matthews corrcoef,0.7886867966066965
