Metricas de clasificación para estado,accuracy,recall,precision,f1 score,balanced accuracy,log loss,average precision,roc auc,matthews corrcoef
0,0.9074074074074074,0.9074074074074074,0.921875,0.9066067104808025,0.9074074074074074,3.337375313807144,0.9818687912635733,0.98559670781893,0.82915619758885
1,0.8532110091743119,0.8532110091743119,0.886290218374467,0.8497666850279535,0.8518518518518519,4.657247579784637,0.9725662038512704,0.9804713804713805,0.7383241749909781
2,0.8981481481481481,0.8981481481481481,0.9151234567901235,0.8968810916179337,0.8962264150943396,2.4099392309240604,0.9473652545143618,0.9670668953687822,0.8126360553720011
3,0.8899082568807339,0.8899082568807339,0.9096261810214981,0.8884418709580388,0.8888888888888888,2.704642079825652,0.9662774207532634,0.9713804713804712,0.7990458655113066
4,0.8611111111111112,0.8611111111111112,0.8913043478260869,0.8583792289535799,0.8611111111111112,2.0711563522239875,0.8928201424133694,0.950960219478738,0.7518094115561123
5,0.8796296296296297,0.8796296296296297,0.9029850746268656,0.8778599391039582,0.8796296296296297,2.7332127151614545,0.9019886040306979,0.9602194787379973,0.7822661302315617
6,0.8055555555555556,0.8055555555555556,0.8592836257309941,0.797121189442698,0.8018867924528301,2.1086764524921886,0.9269295021083284,0.9485420240137221,0.6610154386465541
7,0.5092592592592593,0.5092592592592593,0.25934499314128945,0.34367189275164733,0.5,0.3283364262676121,0.9493982704916344,0.9595197255574615,0.0
8,0.5833333333333334,0.5833333333333334,0.7708333333333334,0.4901286797109113,0.5754716981132075,3.4671907198445586,0.9022274065654337,0.9252144082332763,0.28812994971805395
9,0.5,0.5,0.25,0.3333333333333333,0.5,2.5244670954135353,0.8594373453641518,0.9204389574759946,0.0
