Metricas para cada modelo,time lapsed,loss
0,203415123200,0.05005853041348991
1,1788402892100,0.07583731624351542
2,1710169926700,0.0984522513637129
3,1317184985500,0.10467764440405543
4,1537708449100,0.10662972289327122
5,1252105528700,0.1101227192583759
6,1360289080700,0.11269053937644846
7,1298220641200,0.11641126987920888
8,91627578500,0.12092897549428314
9,1254577229600,0.12115269605834783
10,1842999517700,0.12457242201380878
11,1598693415400,0.12458745777958323
12,137491021500,0.12557425703039266
13,114007534500,0.1259782408033772
14,1153844467000,0.1285797762957014
15,112645191100,0.1317058150984356
16,1520995807900,0.13961503437866563
17,89773475300,0.15586669737681821
18,1766427706600,0.16002284602356961
19,1147347303700,0.16006920371993988
20,1172356006000,0.16874148538420985
21,114774682900,0.16948489133233116
22,1502907760200,0.19496063149798237
23,1965302541000,0.20109433500906862
24,131241487600,0.2168691537175793
