Metricas para cada modelo,time lapsed,loss
0,52826628000,0.08832297278613739
1,47525808200,0.12841392200043666
2,74649738900,0.13057747126850824
3,46410628400,0.13143708140163196
4,55296480100,0.13211229284906054
5,55746701000,0.132781962921872
6,102184625500,0.1362217615896587
7,64177008400,0.14221317939655895
8,63361016200,0.1443843658130979
9,60608294700,0.15287792249306906
10,54376415600,0.15583193736775905
11,72370093100,0.1568177066478277
12,72683339200,0.15690214988003504
13,60502547200,0.16334681630994657
14,57982049500,0.16729315835504438
15,67383620500,0.17739137046344625
16,60994435600,0.1830114310794335
17,51816710400,0.18462815769563087
18,48442753200,0.1857331615085157
19,48814574300,0.18610171234585446
20,46723001400,0.19755749355582547
21,54152990400,0.1981819040875189
22,61124014900,0.20057112987192197
23,54529616700,0.20123427710918879
24,51742661700,0.20369886397985595
