Metricas de clasificación para estado,accuracy,recall,precision,f1 score,balanced accuracy,log loss,average precision,roc auc,matthews corrcoef
0,0.9365079365079365,0.9365079365079365,0.9435626102292769,0.9361859686403298,0.935483870967742,2.2884859294677558,0.9889216651671029,0.9899193548387096,0.8798826901281197
1,0.9838709677419355,0.9838709677419355,0.9843597262952102,0.9838583505067924,0.9833333333333334,0.00031859041491084445,1.0,1.0,0.9681806326165264
2,0.8870967741935484,0.8870967741935484,0.9078947368421053,0.885638998682477,0.8870967741935484,2.3483954593943848,0.9700770428327293,0.9729448491155047,0.7947194142390263
3,0.8870967741935484,0.8870967741935484,0.9073614557485525,0.88520655276761,0.8833333333333333,4.0694447374809695,0.8501371244203456,0.9166666666666667,0.7931329201715366
4,0.8709677419354839,0.8709677419354839,0.8974358974358974,0.8687830687830688,0.8709677419354839,4.069682460985638,0.918041122383647,0.9334027055150885,0.7679476477883045
5,0.6612903225806451,0.6612903225806451,0.7954960438222762,0.6119398627937528,0.65,2.9762095228118475,0.9889475062368095,0.9885416666666667,0.4255961412791452
6,0.6129032258064516,0.6129032258064516,0.7788018433179723,0.5366568914956011,0.6,0.2933754604344177,0.9807152206129852,0.98125,0.3380617018914066
7,0.8064516129032258,0.8064516129032258,0.8604651162790697,0.7989189189189189,0.8064516129032258,4.101659705867576,0.9685892050823777,0.9708636836628511,0.6647258571142536
8,0.7619047619047619,0.7619047619047619,0.8378926038500507,0.7465148192322982,0.7580645161290323,3.463030515357329,0.8680186499550083,0.9213709677419355,0.5927959182436581
9,0.6612903225806451,0.6612903225806451,0.798076923076923,0.6173964149280048,0.6612903225806451,1.3716370493172472,0.9799037060216083,0.9833506763787722,0.4385290096535146
