Metricas para cada etiqueta,estado
accuracy,0.4940669051125606
recall,0.4940669051125606
precision,0.325119173526088
f1 score,0.34312240825022994
balanced accuracy,0.5329974271012007
log loss,18.13439343772254
average precision,0.4655943494823299
roc auc,0.2752144082332762
matthews corrcoef,0.07544157806967208
