Metricas de clasificación para estado,accuracy,recall,precision,f1 score,balanced accuracy,log loss,average precision,roc auc,matthews corrcoef
0,0.9262295081967213,0.9262295081967213,0.9265063037965642,0.9263049947494908,0.9260322668854253,0.15409034905814656,0.9777894701808139,0.9835931091058245,0.8503224249482177
1,0.9586776859504132,0.9586776859504132,0.9601051840721262,0.9587978339040361,0.9613991081382385,0.14278741859756663,0.9412928412895899,0.9782608695652173,0.9174441822658165
2,0.9338842975206612,0.9338842975206612,0.9390818168247634,0.9341848234410218,0.939659977703456,0.19198382444821507,0.9582908652040626,0.9724080267558528,0.8713424548321951
3,0.9421487603305785,0.9421487603305785,0.9436513899323817,0.9423169674656505,0.9445373467112598,0.14632959048773087,0.9681233461644791,0.9824414715719064,0.8839163217843415
4,0.9421487603305785,0.9421487603305785,0.9436513899323817,0.9423169674656505,0.9445373467112598,0.15669269409761497,0.9704032328485435,0.9804905239687849,0.8839163217843415
5,0.9426229508196722,0.9426229508196722,0.9493169398907103,0.9428671414633499,0.9492753623188406,0.18185736827280494,0.9572885798583807,0.9762100082034454,0.8909095390460723
6,0.9421487603305785,0.9421487603305785,0.9436513899323817,0.9423169674656505,0.9445373467112598,0.1604135468278752,0.9796122533740034,0.9849498327759197,0.8839163217843415
7,0.9338842975206612,0.9338842975206612,0.934674652449415,0.9340218856917474,0.9349219620958751,0.16253911601437418,0.983025707790643,0.9869007803790413,0.8662300991586188
8,0.9256198347107438,0.9256198347107438,0.9325309860873259,0.9259778989133605,0.9324136008918618,0.17754582239585087,0.9747221360654139,0.9824414715719063,0.8565125046500462
9,0.9256198347107438,0.9256198347107438,0.9325309860873259,0.9259778989133605,0.9324136008918618,0.17687125126787653,0.9810759877098888,0.9855072463768115,0.8565125046500462
10,0.9256198347107438,0.9256198347107438,0.9294031825431346,0.9259276783968413,0.9300445930880714,0.17817719875093496,0.9617565507245704,0.9782608695652174,0.852986759177492
11,0.9173553719008265,0.9173553719008265,0.9261888632976562,0.9177640541276905,0.9251672240802675,0.18632931646714307,0.9841563338987682,0.9874581939799332,0.841928958968758
12,0.9338842975206612,0.9338842975206612,0.9426997245179063,0.9342112433021523,0.9420289855072463,0.1989173230800216,0.9364357461240895,0.9673913043478262,0.8753191274496559
13,0.9256198347107438,0.9256198347107438,0.9255619603213185,0.925526320498604,0.9229375696767002,0.207892578967719,0.9724920076981846,0.9802118171683389,0.8480049164703366
14,0.9173553719008265,0.9173553719008265,0.9261888632976562,0.9177640541276905,0.9251672240802675,0.20616943981153385,0.9617834014260458,0.9765886287625418,0.841928958968758
15,0.9008264462809917,0.9008264462809917,0.9194214876033058,0.901233562675569,0.9130434782608696,0.2279890468501778,0.9716097630975868,0.979654403567447,0.8192653124439684
16,0.9256198347107438,0.9256198347107438,0.9259133561423946,0.9257025655167659,0.9253065774804905,0.21828990212902658,0.9560847446223394,0.971850613154961,0.8487229011692669
17,0.9180327868852459,0.9180327868852459,0.9231400256685058,0.9183654460293804,0.9231610609789445,0.23307593156746934,0.9301508383625494,0.9614438063986874,0.8394636448628691
18,0.9262295081967213,0.9262295081967213,0.932954345143663,0.9265434675957354,0.9325950232430955,0.23798427265606287,0.9679008040530336,0.9756631118403063,0.8578325567686466
19,0.9098360655737705,0.9098360655737705,0.9205050237969328,0.910218966003083,0.918102269619907,0.23732558723409766,0.9514943339362867,0.9685534591194969,0.8290935393800636
20,0.8842975206611571,0.8842975206611571,0.8931671408571557,0.8848696757787667,0.8914437012263099,0.2995045045105331,0.9435795389801352,0.9601449275362319,0.775148622006962
21,0.9008264462809917,0.9008264462809917,0.9035146671510308,0.9011827912777708,0.903567447045708,0.2223256235747369,0.9565760843496445,0.9682274247491639,0.8013489062729285
22,0.9256198347107438,0.9256198347107438,0.9325309860873259,0.9259778989133605,0.9324136008918618,0.259716758594169,0.955880246040004,0.9701783723522854,0.8565125046500462
23,0.9173553719008265,0.9173553719008265,0.9306851506264997,0.917751830506017,0.927536231884058,0.2862361243760213,0.9494565152182269,0.9662764771460424,0.8468515514877029
24,0.9008264462809917,0.9008264462809917,0.909678002077406,0.9013168649532286,0.9083054626532887,0.27879519008076237,0.9451743722741461,0.9659977703455964,0.80853879048786
