Metricas para cada etiqueta,Diagnosis
accuracy,0.9710138177301662
recall,0.9710138177301662
precision,0.9717649064094752
f1 score,0.9710322813972845
balanced accuracy,0.9687859066543967
log loss,0.8945914614916959
average precision,0.9920623250001886
roc auc,0.9933681871591308
matthews corrcoef,0.9388268888002823
