Metricas para cada etiqueta,estado
accuracy,0.9416435049331723
recall,0.9416435049331723
precision,0.9471304850586061
f1 score,0.9415276831857444
balanced accuracy,0.943130475594493
log loss,0.2063237510128552
average precision,0.9635087385343531
roc auc,0.98034654063193
matthews corrcoef,0.8888385484168446
