Metricas para cada etiqueta,estado
accuracy,0.9385714285714285
recall,0.9385714285714285
precision,0.9477557566827906
f1 score,0.9396186310234395
balanced accuracy,0.9487924766872138
log loss,0.23462600766065317
average precision,0.9735898657429864
roc auc,0.9885727833096252
matthews corrcoef,0.8736666450832796
