Metricas de clasificación para estado,accuracy,recall,precision,f1 score,balanced accuracy,log loss,average precision,roc auc,matthews corrcoef
0,0.9239130434782609,0.9239130434782609,0.937929061784897,0.9254568367989917,0.9426229508196722,1.9770584331009595,0.9885221075015291,0.9941829719725013,0.8498083832132188
1,0.9139784946236559,0.9139784946236559,0.9316239316239315,0.915927750410509,0.935483870967742,3.100529323795024,0.9979513527575441,0.9989594172736733,0.8320502943378437
2,0.8709677419354839,0.8709677419354839,0.9069767441860466,0.8745173745173745,0.9032258064516129,3.519617209759213,0.9999999999999999,1.0,0.7624928516630233
3,0.9247311827956989,0.9247311827956989,0.9382409704990349,0.9261508273577886,0.9426229508196722,2.7129631583206457,0.9722985878826048,0.9882172131147541,0.852264989074122
4,0.8924731182795699,0.8924731182795699,0.9186991869918699,0.895224171539961,0.9193548387096775,3.1112247759033966,0.9741000883930829,0.9880332986472424,0.7963330593811956
5,0.8602150537634409,0.8602150537634409,0.9015151515151515,0.8641441441441441,0.8951612903225806,4.654981382367793,0.9251656560254474,0.9687825182101978,0.7462025072446365
6,0.8804347826086957,0.8804347826086957,0.9117494824016563,0.8835187182417676,0.9098360655737705,4.309567253046616,0.9741979290871787,0.9899524061343203,0.7778149502287646
7,0.8709677419354839,0.8709677419354839,0.9061583577712611,0.8741163759839481,0.9016393442622951,3.897118852578134,0.971375426403073,0.9866803278688524,0.7643315266056597
8,0.8586956521739131,0.8586956521739131,0.9004446640316206,0.8625156229224836,0.8934426229508197,3.5642709518546574,0.9275623262148921,0.967741935483871,0.7445780168987547
9,0.8695652173913043,0.8695652173913043,0.9059656218402428,0.8730263860698643,0.9016393442622951,3.2050186099333997,0.8978973370756957,0.9666842940243258,0.760991387419746
