Metricas de clasificación para estado,accuracy,recall,precision,f1 score,balanced accuracy,log loss,average precision,roc auc,matthews corrcoef
0,0.9642857142857143,0.9642857142857143,0.9678571428571429,0.9647429384271489,0.9736842105263157,1.2872733353256127,0.9970760233918128,0.9985380116959065,0.9233805168766386
1,0.9642857142857143,0.9642857142857143,0.9678571428571429,0.9647429384271489,0.9736842105263157,0.6587733252313539,0.9795774498883376,0.9912280701754386,0.9233805168766386
2,0.9464285714285714,0.9464285714285714,0.9537337662337662,0.9472567109976934,0.9594594594594594,1.930910002988419,0.9916743613419512,0.995732574679943,0.8908489173882368
3,0.9107142857142857,0.9107142857142857,0.9293154761904762,0.9126703259665848,0.9324324324324325,1.9891778413663412,0.9396212298465025,0.9772403982930298,0.8274567569877501
4,0.9107142857142857,0.9107142857142857,0.9301242236024845,0.9130146734062914,0.9342105263157895,1.9518404831400484,0.9549109151082835,0.97953216374269,0.8243990946604004
5,0.9285714285714286,0.9285714285714286,0.9415584415584416,0.9301587301587302,0.9473684210526316,2.5745466706512254,0.9913580246913581,0.9956140350877193,0.8556035391861949
6,0.9107142857142857,0.9107142857142857,0.9301242236024845,0.9130146734062914,0.9342105263157895,2.629961404387596,0.9920634920634922,0.9956140350877194,0.8243990946604004
7,0.8571428571428571,0.8571428571428571,0.9010989010989011,0.8617265087853323,0.8947368421052632,5.149093341302451,0.815500462260569,0.9166666666666667,0.7392960871352163
8,0.9107142857142857,0.9107142857142857,0.9301242236024845,0.9130146734062914,0.9342105263157895,3.2181833383140312,0.8576776646458525,0.9400584795321638,0.8243990946604004
9,0.9464285714285714,0.9464285714285714,0.9540816326530612,0.947388228210146,0.9605263157894737,1.29051376953659,0.9824236517218974,0.9912280701754386,0.8885233166386385
