Metricas de clasificación para estado,accuracy,recall,precision,f1 score,balanced accuracy,log loss,average precision,roc auc,matthews corrcoef
0,0.9693877551020408,0.9693877551020408,0.9695337731052016,0.9693588240714747,0.9683438155136268,0.08608326500065856,0.9975871325378715,0.9970649895178196,0.9384599838534103
1,0.979381443298969,0.979381443298969,0.979381443298969,0.979381443298969,0.9792024013722127,0.08848905137248751,0.9985617914072671,0.9982847341337906,0.9584048027444254
2,0.9591836734693877,0.9591836734693877,0.9591836734693877,0.9591836734693877,0.958909853249476,0.21874461412428295,0.9948220452301386,0.9941299790356394,0.9178197064989518
3,0.9795918367346939,0.9795918367346939,0.9795918367346939,0.9795918367346939,0.9794549266247379,0.09467845821806221,0.999294595414211,0.99916142557652,0.9589098532494759
4,0.9690721649484536,0.9690721649484536,0.9692142394132324,0.9690389413636954,0.9678387650085764,0.15061248091961876,0.9978477325800007,0.9974271012006861,0.9376901749110127
5,0.8865979381443299,0.8865979381443299,0.9019955438453785,0.8865979381443299,0.8942967409948542,0.11993014612059207,0.9955140111232437,0.9948542024013722,0.7885934819897084
6,0.9381443298969072,0.9381443298969072,0.9391286770198891,0.9382368490615914,0.9395368782161235,0.13517842823584847,0.9923800477915101,0.9901372212692967,0.8764468492591809
7,0.9183673469387755,0.9183673469387755,0.9254680595642513,0.9184693877551021,0.9228511530398322,0.14485411474371085,0.995146720554814,0.9945492662473794,0.8435827480952237
8,0.9285714285714286,0.9285714285714286,0.9336309523809524,0.9286830938732972,0.9322851153039833,0.19077863123339706,0.9887240534533053,0.9878406708595389,0.8618642138589336
9,0.9381443298969072,0.9381443298969072,0.9386620252599635,0.9379978156051041,0.9356775300171527,0.27818989420108564,0.9871027361231945,0.9845626072041167,0.8754945373010786
10,0.9795918367346939,0.9795918367346939,0.9795918367346939,0.9795918367346939,0.9794549266247379,0.16692522203391175,0.9554757464444501,0.9777777777777779,0.9589098532494759
11,0.9381443298969072,0.9381443298969072,0.9386620252599635,0.9379978156051041,0.9356775300171527,0.29541735234261884,0.9820663889520347,0.9807032590051459,0.8754945373010786
12,0.9285714285714286,0.9285714285714286,0.9288700430004777,0.9286237571951859,0.9289308176100629,0.447602623640695,0.9869920086476551,0.9853249475890986,0.8566054832134774
13,0.9693877551020408,0.9693877551020408,0.9695337731052016,0.9693588240714747,0.9683438155136268,0.2708783942773554,0.9802758657616266,0.9840670859538785,0.9384599838534103
14,0.9285714285714286,0.9285714285714286,0.9305357142857142,0.9286832803901391,0.930607966457023,0.2518562116382812,0.9849901875341129,0.9853249475890986,0.8585204147750969
15,0.8865979381443299,0.8865979381443299,0.8874465677646468,0.8861573041209295,0.8827186963979416,0.5110550011860037,0.9668627136461396,0.960548885077187,0.7714148688527098
16,0.9489795918367347,0.9489795918367347,0.9490826633683777,0.9489313734524578,0.9477987421383648,0.3961095872573564,0.9726964328012636,0.9740041928721174,0.897292088411318
17,0.9693877551020408,0.9693877551020408,0.9695337731052016,0.9693588240714747,0.9683438155136268,0.5402264494823333,0.9883161473207529,0.9878406708595387,0.9384599838534103
18,0.9484536082474226,0.9484536082474226,0.9499084018822515,0.948253320054968,0.9451114922813035,0.730737692485223,0.9877273281123372,0.9854202401372213,0.89717493990937
19,0.9381443298969072,0.9381443298969072,0.9407306927111592,0.9377962243941625,0.9337478559176673,0.6391515620396665,0.9876297417629731,0.9858490566037735,0.8773324364037706
20,0.9387755102040817,0.9387755102040817,0.9387755102040817,0.9387755102040817,0.9383647798742139,0.46349260896973826,0.9654847128911754,0.9706498951781971,0.8767295597484277
21,0.9183673469387755,0.9183673469387755,0.9240614107442194,0.9176384839650146,0.9127882599580712,0.6291092170859374,0.9826183944421836,0.979874213836478,0.8405106391950811
22,0.8877551020408163,0.8877551020408163,0.8927295918367346,0.8879305760866097,0.8911949685534591,0.5311368185442015,0.953732185215139,0.9563941299790356,0.7799411363049322
23,0.9175257731958762,0.9175257731958762,0.9283420652357613,0.916295894375113,0.9090909090909092,0.9697498088128113,0.9713198869414814,0.9708404802744426,0.8431365753244112
24,0.8877551020408163,0.8877551020408163,0.8927295918367346,0.8879305760866097,0.8911949685534591,0.5974988524445125,0.9515698558488894,0.9425576519916142,0.7799411363049322
