Metricas para cada etiqueta,estado
accuracy,0.9241301084236863
recall,0.9241301084236863
precision,0.9292600505348944
f1 score,0.923911486480247
balanced accuracy,0.9250888489567737
log loss,0.2317640863980723
average precision,0.93909608549936
roc auc,0.9657886592792253
matthews corrcoef,0.8534522050889415
